User's manual r01uh0330ej0210_rl78l12; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
SEG20,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG21,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG22,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG23,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG24,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG25,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG26,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG27,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG28,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG29,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG30,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG31,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG32,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG33,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG34,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG35,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG36,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG37,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
SEG38,14.4  LCD Display Data Registers,Table14-10.RelationshipBetweenLCDDisplayDataRegisterContentsandSegment/CommonOutputs(1/2),,,
P1,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P2,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P3,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,PORT  FUNCTIONS,
P3,7.3.17  Port register 3 (P3),Figure7-18.FormatofPortRegister3(P3),,REAL-TIME  CLOCK,
P4,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P5,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P6,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P7,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P12,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P13,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
P14,4.3.2  Port registers (Pxx),Figure4-2.FormatofPortRegister(64-pinproducts),,,
SDR00,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
SIO00,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
TXD0,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
SDR01,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
RXD0,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
SIO01,12.3.5  Higher 7 bits of the serial data register mn (SDRmn),Figure12-7.FormatofSerialDataRegistermn(SDRmn),,,
TDR00,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR01,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR01L,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR01H,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
ADCR,11.3.5  10-bit A/D conversion result register (ADCR),Figure11-9.Formatof10-bitA/DConversionResultRegister(ADCR),,,
ADCRH,11.3.6  8-bit A/D conversion result register (ADCRH),Figure11-10.Formatof8-bitA/DConversionResultRegister(ADCRH),,,
PM1,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM1,"6.3.16  Port mode registers 1, 3 to 5, 14 (PM1, PM3 to PM5, PM14)","Figure6-25.FormatofPortModeRegisters1,3to5,14(PM1,PM3toPM5,PM14)(64-pinproducts)",,TIMER  ARRAY  UNIT,
PM1,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM1,"18.3.4  Port mode registers 1, 3, 7, 14 (PM1, PM3, PM7, PM14)",Figure18-5.FormatofPortModeRegister7(PM7)(64-pinproducts),,KEY  INTERRUPT  FUNCTION,
PM2,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,,
PM3,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM3,"6.3.16  Port mode registers 1, 3 to 5, 14 (PM1, PM3 to PM5, PM14)","Figure6-25.FormatofPortModeRegisters1,3to5,14(PM1,PM3toPM5,PM14)(64-pinproducts)",,TIMER  ARRAY  UNIT,
PM3,7.3.16  Port mode register 3 (PM3),Figure7-17.FormatofPortModeRegister3(PM3),,REAL-TIME  CLOCK,
PM3,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM3,"18.3.4  Port mode registers 1, 3, 7, 14 (PM1, PM3, PM7, PM14)",Figure18-5.FormatofPortModeRegister7(PM7)(64-pinproducts),,KEY  INTERRUPT  FUNCTION,
PM4,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM4,"6.3.16  Port mode registers 1, 3 to 5, 14 (PM1, PM3 to PM5, PM14)","Figure6-25.FormatofPortModeRegisters1,3to5,14(PM1,PM3toPM5,PM14)(64-pinproducts)",,TIMER  ARRAY  UNIT,
PM4,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM5,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM5,"6.3.16  Port mode registers 1, 3 to 5, 14 (PM1, PM3 to PM5, PM14)","Figure6-25.FormatofPortModeRegisters1,3to5,14(PM1,PM3toPM5,PM14)(64-pinproducts)",,TIMER  ARRAY  UNIT,
PM5,"9.3.3  Port mode registers 5, 14 (PM5, PM14)","Figure9-4.FormatofPortModeRegisters5,14(PM5,PM14)",,CLOCK  OUTPUT/BUZZER  OUTPUT  CONTROLLER,
PM5,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM6,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM6,13.3.8  Port mode register 6 (PM6) ,Figure13-12.FormatofPortModeRegister6(PM6),,SERIAL  INTERFACE  IICA,
PM6,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM7,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM7,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM7,"18.3.4  Port mode registers 1, 3, 7, 14 (PM1, PM3, PM7, PM14)",Figure18-5.FormatofPortModeRegister7(PM7)(64-pinproducts),,KEY  INTERRUPT  FUNCTION,
PM12,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM12,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM14,4.3.1  Port mode registers (PMxx),Figure4-1.FormatofPortModeRegister(64-pinproducts),,PORT  FUNCTIONS,
PM14,"6.3.16  Port mode registers 1, 3 to 5, 14 (PM1, PM3 to PM5, PM14)","Figure6-25.FormatofPortModeRegisters1,3to5,14(PM1,PM3toPM5,PM14)(64-pinproducts)",,TIMER  ARRAY  UNIT,
PM14,"9.3.3  Port mode registers 5, 14 (PM5, PM14)","Figure9-4.FormatofPortModeRegisters5,14(PM5,PM14)",,CLOCK  OUTPUT/BUZZER  OUTPUT  CONTROLLER,
PM14,"14.3.9  Port mode registers 1, 3 to 7, 12, 14 (PM1, PM3 to PM7, PM12, PM14)","Figure14-14.FormatofPortModeRegisters1,3to7,12,14(PM1,PM3toPM7,PM12,PM14)(64-pinProducts)",,LCD  CONTROLLER/DRIVER,
PM14,"18.3.4  Port mode registers 1, 3, 7, 14 (PM1, PM3, PM7, PM14)",Figure18-5.FormatofPortModeRegister7(PM7)(64-pinproducts),,KEY  INTERRUPT  FUNCTION,
ADM0,11.3.2  A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),,,
ADCE,11.3.2  A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),2,,
ADCS,11.3.2  A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),2,,
ADS,11.3.7  Analog input channel specification register (ADS),Figure11-11.FormatofAnalogInputChannelSpecificationRegister(ADS),,A/D  CONVERTER,
ADS,23.3.8  A/D test function,Figure23-17.FormatofAnalogInputChannelSpecificationRegister(ADS),,SAFETY  FUNCTIONS,
ADM1,11.3.3  A/D converter mode register 1 (ADM1),Figure11-6.FormatofA/DConverterModeRegister1(ADM1),,,
KRCTL,18.3.1  Key return control register (KRCTL),Figure18-2.FormatofKeyReturnControlRegister(KRCTL),,,
KRF,18.3.3  Key return flag register (KRF),Figure18-4.FormatofKeyreturnFlagRegister(KRF),,,
KRM0,18.3.2  Key return mode register 0 (KRM0),Figure18-3.FormatofKeyReturnModeRegister0(KRM0),,,
EGP0,"17.3.4  External interrupt rising edge enable register (EGP0), external interrupt falling edge enable register (EGN0)",Figure17-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0)andExternalInterruptFallingEdgeEnableRegister(EGN0)(64-pinproducts),,,
EGN0,"17.3.4  External interrupt rising edge enable register (EGP0), external interrupt falling edge enable register (EGN0)",Figure17-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0)andExternalInterruptFallingEdgeEnableRegister(EGN0)(64-pinproducts),,,
LCDM0,14.3.2  LCD mode register 0 (LCDM0),Figure14-3.FormatofLCDModeRegister0(LCDM0)(1/2),,,
LCDM1,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),,,
LCDVLM,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(2/2),2,,
LCDSEL,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),2,,BLON
BLON,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),2,,
VLCON,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),2,,
SCOC,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),2,,
LCDON,14.3.3  LCD mode register 1 (LCDM1),Figure14-4.FormatofLCDModeRegister1(LCDM1)(1/2),2,,SCOC
LCDC0,14.3.5  LCD clock control register 0 (LCDC0),Figure14-6.FormatofLCDClockControlRegister0(LCDC0)(1/2),,,
VLCD,14.3.6  LCD boost level control register (VLCD) ,Figure14-7.FormatofLCDBoostLevelControlRegister(VLCD),,,
IICA0,13.2  Configuration of Serial Interface IICA,Figure13-3.FormatofIICAShiftRegister0(IICA0),,,
IICS0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(1/3),,,
SPD0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(3/3),1,,
STD0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(3/3),1,,
ACKD0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(3/3),1,,
TRC0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(2/3),1,,
COI0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(2/3),1,,
EXC0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(2/3),1,,
ALD0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(1/3),3,,
MSTS0,13.3.3  IICA status register 0 (IICS0),Figure13-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
IICF0,13.3.4  IICA flag register 0 (IICF0),Figure13-8.FormatofIICAFlagRegister0(IICF0),,,
IICRSV0,13.3.4  IICA flag register 0 (IICF0),Figure13-8.FormatofIICAFlagRegister0(IICF0),3,,
STCEN0,13.3.4  IICA flag register 0 (IICF0),Figure13-8.FormatofIICAFlagRegister0(IICF0),5,,
IICBSY0,13.3.4  IICA flag register 0 (IICF0),Figure13-8.FormatofIICAFlagRegister0(IICF0),2,,
STCF0,13.3.4  IICA flag register 0 (IICF0),Figure13-8.FormatofIICAFlagRegister0(IICF0),2,,
TDR02,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR03,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR03L,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR03H,6.2.2  Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR04,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR05,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR06,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR07,6.2.2  Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
ITMC,8.3.3  Interval timer control register (ITMC),Figure8-4.FormatofIntervalTimerControlRegister(ITMC),,,
SEC,7.3.5  Second count register (SEC),Figure7-6.FormatofSecondCountRegister(SEC),,,
MIN,7.3.6  Minute count register (MIN),Figure7-7.FormatofMinuteCountRegister(MIN),,,
HOUR,7.3.7  Hour count register (HOUR),Figure7-8.FormatofHourCountRegister(HOUR),,,
WEEK,7.3.9  Week count register (WEEK),Figure7-10.FormatofWeekCountRegister(WEEK),,,
DAY,7.3.8  Day count register (DAY),Figure7-9.FormatofDayCountRegister(DAY),,,
MONTH,7.3.10  Month count register (MONTH),Figure7-11.FormatofMonthCountRegister(MONTH),,,
YEAR,7.3.11  Year count register (YEAR),Figure7-12.FormatofYearCountRegister(YEAR),,,
SUBCUD,7.3.12  Watch error correction register (SUBCUD),Figure7-13.FormatofWatchErrorCorrectionRegister(SUBCUD),,,
ALARMWM,7.3.13  Alarm minute register (ALARMWM),Figure7-14.FormatofAlarmMinuteRegister(ALARMWM),,,
ALARMWH,7.3.14  Alarm hour register (ALARMWH),Figure7-15.FormatofAlarmHourRegister(ALARMWH),,,
ALARMWW,7.3.15  Alarm week register (ALARMWW),Figure7-16.FormatofAlarmWeekRegister(ALARMWW),,,
RTCC0,7.3.3  Real-time clock control register 0 (RTCC0),Figure7-4.FormatofReal-timeClockControlRegister0(RTCC0),,,
RCLOE1,7.3.3  Real-time clock control register 0 (RTCC0),Figure7-4.FormatofReal-timeClockControlRegister0(RTCC0),2,,
RTCE,7.3.3  Real-time clock control register 0 (RTCC0),Figure7-4.FormatofReal-timeClockControlRegister0(RTCC0),2,,
RTCC1,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(1/2),,,
RWAIT,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(2/2),2,,
RWST,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(2/2),1,,
RIFG,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(2/2),1,,
WAFG,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(1/2),3,,
WALIE,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(1/2),4,,
WALE,7.3.4  Real-time clock control register 1 (RTCC1),Figure7-5.FormatofReal-timeClockControlRegister1(RTCC1)(1/2),2,,
CMC,5.3.1  Clock operation mode control register (CMC),Figure5-2.FormatofClockOperationModeControlRegister(CMC),,,
CSC,5.3.3  Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),,,
HIOSTOP,5.3.3  Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
XTSTOP,5.3.3  Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
MSTOP,5.3.3  Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
OSTC,5.3.4  Oscillation stabilization time counter status register (OSTC),Figure5-5.FormatofOscillationStabilizationTimeCounterStatusRegister(OSTC),,,
OSTS,5.3.5  Oscillation stabilization time select register (OSTS),Figure5-6.FormatofOscillationStabilizationTimeSelectRegister(OSTS),,,
CKC,5.3.2  System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),,,
MCM0,5.3.2  System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
MCS,5.3.2  System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CSS,5.3.2  System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CLS,5.3.2  System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CKS0,9.3.2  Clock output select registers n (CKSn),Figure9-3.FormatofClockOutputSelectRegistern(CKSn),,,
PCLOE0,9.3.2  Clock output select registers n (CKSn),Figure9-3.FormatofClockOutputSelectRegistern(CKSn),2,,PCLOEn
CKS1,9.3.2  Clock output select registers n (CKSn),Figure9-3.FormatofClockOutputSelectRegistern(CKSn),,,
PCLOE1,9.3.2  Clock output select registers n (CKSn),Figure9-3.FormatofClockOutputSelectRegistern(CKSn),2,,PCLOEn
RESF,20.3.1  Reset control flag register (RESF),Figure20-4.FormatofResetControlFlagRegister(RESF),,,
LVIM,22.3.1  Voltage detection register (LVIM),Figure22-2.FormatofVoltageDetectionRegister(LVIM),,,
LVIF,22.3.1  Voltage detection register (LVIM),Figure22-2.FormatofVoltageDetectionRegister(LVIM),2,,
LVIOMSK,22.3.1  Voltage detection register (LVIM),Figure22-2.FormatofVoltageDetectionRegister(LVIM),4,,
LVISEN,22.3.1  Voltage detection register (LVIM),Figure22-2.FormatofVoltageDetectionRegister(LVIM),2,,
LVIS,22.3.2  Voltage detection level register (LVIS),Figure22-3.FormatofVoltageDetectionLevelSelectRegister(LVIS),,,
LVILV,22.3.2  Voltage detection level register (LVIS),Figure22-3.FormatofVoltageDetectionLevelSelectRegister(LVIS),2,,
LVIMD,22.3.2  Voltage detection level register (LVIS),Figure22-3.FormatofVoltageDetectionLevelSelectRegister(LVIS),2,,
WDTE,10.3  Register Controlling Watchdog Timer ,Figure10-2.FormatofWatchdogTimerEnableRegister(WDTE),,,
CRCIN,23.3.2  CRC operation function (general-purpose CRC),Figure23-4.FormatofCRCInputRegister(CRCIN),,,
DSA0,16.2.1  DMA SFR address register n (DSAn),Figure16-1.FormatofDMASFRAddressRegistern(DSAn),,,
DSA1,16.2.1  DMA SFR address register n (DSAn),Figure16-1.FormatofDMASFRAddressRegistern(DSAn),,,
DRA0,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DRA0L,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DRA0H,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DRA1,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DRA1L,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DRA1H,16.2.2  DMA RAM address register n (DRAn),Figure16-2.FormatofDMARAMAddressRegistern(DRAn),,,
DBC0,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DBC0L,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DBC0H,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DBC1,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DBC1L,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DBC1H,16.2.3  DMA byte count register n (DBCn),Figure16-3.FormatofDMAByteCountRegistern(DBCn),,,
DMC0,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),,,
DWAIT0,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DWAITn
DS0,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DSn
DRS0,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DRSn
STG0,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,STGn
DMC1,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),,,
DWAIT1,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DWAITn
DS1,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DSn
DRS1,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,DRSn
STG1,16.3.1  DMA mode control register n (DMCn),Figure16-4.FormatofDMAModeControlRegistern(DMCn)(1/2),2,,STGn
DRC0,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),,,
DST0,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),3,,DSTn
DEN0,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),2,,DENn
DRC1,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),,,
DST1,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),3,,DSTn
DEN1,16.3.2  DMA operation control register n (DRCn),Figure16-5.FormatofDMAOperationControlRegistern(DRCn),2,,DENn
IF2,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
PIF6,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF7,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
MDIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
FLIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
IF2L,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
